sample_id,Acidobacteriaceae,Actinomycetaceae,Aeromonadaceae,Akkermansiaceae,Anaerolineaceae,Anaerovoracaceae,Armatimonadaceae,Atopobiaceae,Atribacteraceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Caldicoprobacteraceae,Caldisericaceae,Christensenellaceae,Cloacimonadaceae,Clostridiaceae,Coprothermobacteraceae,Corynebacteriaceae,Deferribacteraceae,Desulfobulbaceae,Desulfovibrionaceae,Dysgonomonadaceae,Eggerthellaceae,Elusimicrobiaceae,Eubacteriaceae,Fermentibacteraceae,Fibrobacteraceae,Fusobacteriaceae,Geobacteraceae,Kosmotogaceae,Lachnospiraceae,Lactobacillaceae,Methanobacteriaceae,Methanocorpusculaceae,Methanoculleaceae,Methanomassiliicoccaceae,Methanoregulaceae,Methanosarcinaceae,Methanospirillaceae,Methanothermobacteraceae,Methanotrichaceae,Moraxellaceae,Nitrospiraceae,Oscillospiraceae,Paludibacteraceae,Pelotomaculaceae,Peptostreptococcaceae,Petrotogaceae,Planctomycetaceae,Prevotellaceae,Pseudomonadaceae,Rhodocyclaceae,Rikenellaceae,Ruminococcaceae,Sedimentibacteraceae,Spirochaetaceae,Streptococcaceae,Synergistaceae,Syntrophaceae,Syntrophobacteraceae,Syntrophomonadaceae,Syntrophorhabdaceae,Tannerellaceae,Thermoanaerobacteraceae,Turicibacteraceae,Victivallaceae,f__unclassified_Firmicutes,f__unclassified_root
대구_autumn,0.359,0.0,0.0,0.0,15.1478,0.1517,0.0,1.9922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938,0.277,1.2375,0.0,0.0,0.0,0.0,3.9643,0.0,0.0,1.5114,0.0,0.0,0.1872,0.0,0.2435,0.0,0.8118,0.4487,0.0,2.8405,18.6433,0.0,7.7934,0.0,0.0878,0.0,0.0,0.0,0.0,0.0,0.1101,0.0,2.3934,0.0,2.7744,2.8933,0.0,0.0,0.9886,0.0,0.7347,0.0,14.5437,0.1719,2.2831,3.7481,0.0,0.0,0.1244,0.0,0.0,0.0,13.2432
대구_winter,0.0,0.0,0.0,0.0,5.6986,0.8646,0.0,0.0,0.0,10.2942,0.5887,1.2771,1.8068,0.0,0.0,0.1586,1.051,0.0,0.0,0.0,0.0,0.0,3.1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0852,0.1455,0.1538,0.0,0.0,0.0,21.1514,0.0,0.0,20.4573,0.4985,2.7076,12.2766,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0,0.1585,2.659,0.0,0.0,0.0,0.2988,0.0,0.0,0.9905,0.0,0.0,0.5384,0.0,0.0,1.2418,0.0,0.0,0.0,11.5958
인천_spring,0.0,0.0,0.0,0.0,0.2066,0.0,0.0,0.0,0.0,0.1178,0.0,0.121,0.2024,0.1067,0.1349,0.0,0.1457,0.0,0.0,0.0,0.0,0.0,2.3064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3412,0.0,14.4018,0.0,0.0,12.1887,0.0,0.0,5.0323,0.0,0.0,0.0,0.0,0.1109,0.0,0.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.1427,0.0,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,1.921
인천_summer,0.0,0.0,0.0,0.2429,2.9578,0.0,0.0,0.0,0.0,2.233,1.1509,0.0,0.0,0.0,0.3777,1.9754,0.4499,0.4601,0.0,0.0,0.3757,0.0,2.0786,0.0,0.745,0.0,0.0,0.0,0.0,1.2254,0.0,0.0,0.4417,2.3309,0.4086,21.9952,0.3855,1.8995,5.6511,0.0,0.0,9.4065,0.25,0.0,0.64,0.0,0.0,0.0,0.0,0.0,2.4301,0.0,0.0,0.1376,0.0,0.3463,1.6686,0.0843,7.2773,1.7227,0.0,2.9921,2.6776,1.0366,9.6261,0.0,1.0683,0.1739,11.0771
인천_autumn,0.0,0.0,0.3382,0.0,3.6287,0.0,0.0,2.0213,0.0,0.0,0.1548,0.0,0.0,0.0,0.1594,0.5602,1.2472,0.0,0.0,0.0,0.2275,0.0,0.7826,0.0,6.2117,0.0,1.1238,0.0,0.0,0.6674,1.5496,1.0942,0.0,0.1699,0.1262,0.2406,1.3795,1.6859,2.8788,0.1042,0.1868,1.2191,0.0,1.6693,5.3647,0.6069,0.2422,0.0,0.6073,0.0,0.0,0.4643,1.508,0.0,0.0,2.1321,0.5151,0.0,33.0995,0.0,1.5185,0.5129,2.1219,1.5729,1.0295,0.0,0.0,0.0,19.277
인천_winter,0.0,0.0,0.1282,0.0,2.395,0.0819,0.0,0.0,0.0,0.109,4.2077,0.7173,3.7934,0.0,1.509,1.1711,0.7561,0.0,1.5558,0.0,0.0,0.0,3.2561,0.0,0.0,0.0,0.1176,0.0,0.0,0.2581,0.0,0.0,0.0,1.787,1.3621,5.9406,0.0,0.1143,3.947,0.128,0.0,3.3376,8.4339,0.0,5.1665,1.3384,10.5148,0.0963,0.0,1.3364,6.0266,0.0,0.0,0.0,0.0,1.4565,1.1792,0.0,5.5525,0.0942,0.235,1.7704,0.0,0.0,9.0816,0.0,0.0,0.0,11.0445
광주_spring,0.0,0.3187,0.0,0.0,2.2643,0.1337,0.0,0.0,0.0,0.4959,0.0,0.0,0.0,0.0,0.2041,3.0244,3.8401,0.0,0.4405,0.1399,0.0,0.0981,21.8405,0.0,0.0,4.7492,2.9183,0.0,0.0,0.0,0.0,0.2204,0.0,2.2361,3.7537,0.197,0.0,0.4013,1.8212,14.3657,0.7546,0.9043,0.0,0.0,0.0,0.5824,0.2278,0.1075,0.8638,0.0,0.0,0.4034,0.0,0.0,0.0,0.1033,7.7491,0.2247,8.9966,0.0,0.0,2.0254,1.4962,0.0,0.2739,0.0,0.2434,0.0,11.5806
광주_summer,0.8242,0.0,3.0433,0.0,3.3463,0.0,0.0,0.0,0.0,0.0,0.1347,0.0,0.0,0.0,0.0,1.0267,0.5724,0.0,0.0,0.0,0.0,2.4056,0.3465,0.0,0.0,0.624,0.462,0.6181,0.0,0.5503,0.0,0.1254,5.7758,0.2453,0.0,22.081,0.8987,5.9055,1.4765,0.0,0.7825,8.5602,0.0,0.0,0.7129,1.9477,0.0993,0.0,6.1786,0.2037,0.1964,0.0,0.0,0.0,0.0,1.9166,0.0,0.0,9.668,0.0,0.0,7.9016,2.8949,0.0,7.4563,0.0,0.0,0.0,1.0187
광주_autumn,0.0,0.0,0.0,0.0,1.7744,0.0,0.0,0.0,0.1049,0.0,0.247,0.0,0.0,0.0,9.1095,0.0,0.0,0.0,0.2096,0.0,0.0,0.0,5.2144,0.0,0.0,0.1192,0.0,0.0,0.0,0.15,2.1669,0.0,0.0,0.3035,0.0,1.1682,0.1154,1.8313,1.4579,0.0,0.0,1.807,0.0,0.0,0.5753,8.4687,0.0,2.1219,0.0,0.2017,2.8202,48.6969,0.0,0.0,0.0914,0.0,0.2109,0.0,0.0,0.0,0.0,0.1203,0.0,0.0,2.0571,0.0,0.0,0.0,8.8562
광주_winter,0.0,0.4596,0.1434,0.0,10.8482,0.0,0.0,0.0,2.3665,0.0,3.0409,2.1923,0.2585,0.0,0.1054,0.2997,7.7466,0.0,0.0,0.0,7.0383,0.0,5.243,0.0,0.0,1.2949,0.0,0.0,0.0,0.0,0.0,1.1187,0.0,0.2328,0.0,6.9082,0.0,0.0,2.6432,0.1942,1.5913,2.9072,0.0,0.1886,0.9724,6.6497,2.5668,0.0,0.0,0.0,0.3076,0.0,0.0,0.0,0.0,0.0,1.1577,0.0,0.1381,0.0988,0.0,2.0761,6.3144,0.0,0.467,0.0,0.1075,0.0,22.3221
대전_spring,0.0,0.0,0.0,0.0,11.4832,0.0,0.0,0.0,0.0,0.0,0.0,0.6348,0.0,0.0,0.0,4.668,0.1747,0.0926,0.0,0.4106,4.105,0.2571,2.4065,0.0,0.0,0.9454,0.4109,0.0,0.0,0.0913,0.0,0.0,1.0052,0.4345,0.3348,4.7602,0.0,0.0,0.167,0.7624,0.0,2.0702,0.0825,0.0,0.0,0.0,0.0,2.4862,0.0,0.0,0.9718,0.0,2.7991,0.091,0.0,0.0,0.0,1.3773,21.5226,0.3037,14.1768,0.9352,0.1431,0.0,0.9707,0.0,0.0,0.0,18.9256
대전_summer,0.0,0.3745,0.0,0.0,10.1155,0.0,0.0,0.0,9.9086,0.0,0.3604,0.0,0.0,0.0,0.326,0.0,2.8977,0.0,0.0,0.0,2.4249,3.1325,0.7385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.539,1.079,0.0,1.2041,11.1688,0.7449,0.1117,0.654,1.3748,0.8661,0.0,0.0,0.707,0.0,0.0,2.3496,0.0,0.0,0.0,0.1981,0.4996,0.525,0.0,0.4768,0.0,2.4934,1.1596,0.0,2.5833,0.8739,0.905,19.4879,0.0,0.0,0.0,13.7197
대전_autumn,0.0,0.0,0.0,0.9433,5.6438,0.0,0.8789,0.0,0.0867,0.1754,0.0,0.0944,0.0,0.0,0.0,3.9336,0.7243,0.5748,0.0,0.0,10.2897,0.0,14.2276,0.0,0.0,0.0,0.0,5.4638,0.0,5.8604,0.0,0.1672,0.0,0.7308,0.0,1.9138,1.9475,0.0909,3.2071,1.2823,0.0,1.5347,0.0,0.0,0.1021,0.1082,0.9067,0.0,0.0,5.1062,3.8188,0.0,0.0,6.4116,1.5103,0.1141,2.87,0.0,9.3365,1.0173,0.1491,0.3972,0.0,0.0,0.0,0.0,0.0,3.4381,4.9428
대전_winter,0.0,1.7747,0.0,0.0,3.6764,0.0,0.0,0.1798,0.0,0.0,0.0,4.3519,0.0,0.1025,0.0,16.3481,34.6263,0.0,0.0,0.0,0.0,0.0931,1.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608,0.0,0.2124,0.0,2.1152,0.0,4.3015,0.0947,0.0,0.1619,2.0605,0.0,0.0,0.0,0.0,1.7336,0.0,0.0,0.0,0.0,0.0,0.0,8.5797,2.6033,0.2362,0.0,0.2154,8.0746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3794
울산_spring,0.0,0.0,1.2487,0.0,4.0142,0.2916,0.0,0.1057,0.0,0.0,0.6753,0.0,0.13,1.6612,0.5289,1.393,32.442,0.4737,0.2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613,0.0,0.0807,0.6107,0.8268,0.0,1.1102,0.0,0.0,0.1209,0.7113,0.5374,1.8343,1.8424,0.0,0.0,0.0,0.0,1.6804,0.0,1.0568,0.1833,0.0,0.1093,1.8086,0.0,0.0,0.0,6.7482,6.8328,2.8577,0.0,0.0,1.8534,1.6921,0.1536,0.0,1.7643,0.1739,0.0,0.0,21.893
울산_summer,0.0,0.0,0.0,0.5003,3.0102,0.1012,0.0,0.0,0.0,0.0,0.0,0.0,0.5579,0.2566,0.1511,0.2026,61.9728,0.0,0.2362,0.2117,0.0,0.0,0.2284,0.0,0.0,2.2625,0.0,0.1259,0.0,0.0,0.0,0.0,7.6914,0.0936,0.0,1.0538,0.0,0.1094,0.5683,2.2151,0.0,0.0,0.0,0.0,2.4151,0.0,0.0,0.0,0.0,0.0,0.1044,0.0,0.0,0.0,0.179,0.3976,0.1266,0.0856,1.3201,0.0,0.2922,0.0,1.1983,0.0,4.749,0.359,0.0,0.0,7.2242
울산_autumn,0.0,0.0,1.48,2.7521,6.6154,0.2261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398,0.2508,0.0,0.0,0.0,0.1897,0.0,3.087,0.0,0.1503,0.0,1.5173,0.0,0.0,0.0,0.0,0.0,0.0,6.3292,0.0,0.1255,0.0,0.0855,3.8117,1.4384,0.0,0.5842,0.0,0.0,0.0,0.0,0.1744,0.0849,0.1209,6.6156,0.1188,0.0,0.0,0.0,0.6607,9.6727,0.1812,5.1595,0.097,0.0,0.113,0.4626,0.9014,0.0,0.3172,0.0,0.0,0.0,46.5369
울산_winter,0.0,0.0,0.0,0.0,0.2411,0.0,0.0,0.0,0.0,0.665,0.0,0.2892,4.2089,0.0,4.2662,5.4932,3.9363,0.0,0.0,0.0,0.0,0.1697,4.7085,0.0,0.0,0.0,0.7929,0.0,0.0,0.169,8.1456,0.0,0.0,1.7642,0.5758,0.1991,0.0,0.0,0.3419,0.371,0.8615,0.0,0.0,0.0,0.1289,0.0,0.0,0.0,2.8278,0.0,2.0453,0.0,0.0,0.1522,0.3221,0.0,0.2735,0.0,17.6693,0.1377,0.0,0.391,0.0,0.0,2.7646,0.081,0.1215,0.0,35.8859
수원_spring,0.2445,0.0,0.0,0.3017,19.4885,0.0,0.0,0.0,0.0,0.4296,3.3166,0.0,0.8187,1.195,2.6071,0.8854,2.7647,0.0,0.0,0.0,1.9957,0.0,8.2652,0.0,0.0,0.0,0.3904,0.0,0.0,0.1104,2.0683,1.2227,2.3382,0.0,0.1,0.6049,2.2251,0.0,0.4772,0.4052,0.0,3.4949,0.2344,0.0,0.1077,0.2042,0.2181,0.4395,0.0941,0.0,0.173,0.0,0.1051,0.0,0.0,3.6601,4.0264,2.6136,2.6221,0.4286,0.0,0.5571,1.2718,0.0,5.2709,0.0,0.5613,0.0,21.6621
수원_summer,0.0,0.0,0.0,0.0,6.9694,0.0,0.0,0.0,0.451,0.4425,0.103,0.0,0.0,0.0,0.0,0.2375,0.5852,2.8915,0.0,0.0,0.0,4.0652,0.265,8.0522,0.0,0.0,0.0,0.0,0.0,0.0,7.427,0.0897,0.0,0.0,0.0,1.1084,4.8339,0.0,2.2167,0.0,0.0925,35.7097,0.0,0.0,11.4702,0.125,0.0,0.0,0.0,1.8137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4584,3.6884,2.718,0.6995,0.1095,0.0,0.611,0.0,0.0,0.0,0.0,1.7657
수원_autumn,0.0,0.0,0.0,0.0,17.0155,0.0,0.0,0.0,0.0,0.0,1.7055,0.0,0.0,0.1871,0.0,0.4886,0.9542,0.0,0.0,0.0,0.0,0.1467,9.6425,2.4304,0.0,0.5581,0.1773,0.0,0.0848,5.5161,0.0,0.0,0.0,0.0,0.0,1.1839,0.0,0.1441,2.1549,7.7453,0.0,0.2887,0.0,0.0,2.0186,1.0426,6.9486,0.0,0.0,0.0,0.1287,0.1033,0.0,0.0,0.0,0.0,5.203,0.1151,2.026,0.1153,1.9988,16.0542,3.062,0.0,1.7221,7.4733,0.6409,0.2058,0.7179
수원_winter,0.0,0.5885,0.0,0.0,26.2682,0.2791,0.2881,0.1329,0.0,0.1379,1.7736,0.0,2.3033,0.0,1.8698,22.2396,1.2059,0.2128,0.0,0.0,0.0,0.0,2.4368,0.0,0.1938,0.0,0.0,0.0,0.0,0.7395,1.6254,0.2612,0.0,0.2857,0.0,0.1124,0.0,0.9036,3.8005,3.8774,0.5127,5.0667,0.0,0.0,0.5705,0.1443,0.9559,0.1734,0.2881,0.0,0.2046,0.0,0.0,1.0704,0.0,0.0,4.3091,0.0,5.0027,0.0,0.2074,0.4362,0.0,0.8175,3.9772,0.7468,0.2282,1.7159,2.0367
창원_spring,0.0,17.3177,0.0,0.0,21.8986,0.3421,0.0,0.0,0.0,0.0,0.5509,0.0,0.2175,0.0,0.1943,2.2016,0.1529,0.0,0.7458,0.0,0.0,0.0,0.2601,0.0,0.0,0.0859,0.0,0.0,0.0,0.0,0.0,0.5498,0.0,2.0651,0.1492,0.1825,0.0,0.0,0.0821,0.0,0.0,0.0,0.0,4.2324,0.282,0.0,0.0,0.0942,0.0,0.0,0.0,0.0,0.0,5.8612,2.7454,31.2983,0.0,0.0,0.1114,0.0,0.9268,0.1235,0.0,0.0,5.7596,0.0,0.0,0.0,1.569
창원_summer,0.0,0.0,1.0115,0.0,5.6257,0.0,2.0926,0.0,0.0,0.0,3.3654,0.0,0.0,0.0,0.0,0.0,0.442,0.0,0.0,0.6414,0.0,0.0,1.4109,2.5075,0.0,0.8976,0.0,1.4525,0.0,0.0,0.0,0.2201,0.96,0.0,0.0,4.221,0.0,0.1788,9.5677,1.0343,2.0177,2.1235,3.9267,0.3972,0.1085,0.0,0.0,0.2635,0.5982,0.0,0.0,0.0,0.4883,0.0,0.0,41.169,0.0,0.6616,0.2669,4.6092,0.0,3.2458,0.0,0.0,0.096,0.0,3.806,0.0833,0.5096
창원_autumn,0.0,0.8577,0.0,0.0,0.6026,0.0,0.0,0.0,0.0,0.0,1.8639,0.0881,0.0,0.2232,0.0,0.1872,0.1099,0.0,1.9648,0.0,0.0,0.0,7.0477,0.0,0.0,0.0,0.0,0.2114,0.0,0.0,0.0,0.0,0.0,4.1296,0.0,18.6722,0.0,0.8394,0.5834,4.4373,0.0,0.1733,0.0,0.0,0.0,0.3861,0.0,0.0,0.0,0.1423,0.0,0.9087,1.1761,0.0,0.0,0.663,0.0,0.0,2.6674,32.2715,0.1167,10.0971,0.0,0.0,4.3251,0.0,0.2994,0.0,4.9549
창원_winter,0.0,0.0,0.0,0.0,5.6862,0.7842,0.0,0.0,0.0,0.0,0.0,3.3987,0.1672,0.0,0.8308,10.0612,0.9419,0.1666,0.5596,0.0,0.0,0.0,7.4006,0.0857,0.0874,2.2669,1.7914,0.0,0.0,0.0,4.0325,0.2782,0.0,0.0,2.0457,0.2736,0.0,0.0,0.5819,2.1192,0.1126,8.4431,0.1528,0.1872,0.0,0.0,0.0,0.0,0.0976,0.0,0.0,0.0,0.0,1.7888,0.0,0.5539,1.9429,0.0,0.2015,30.4721,0.8456,6.4581,0.6272,0.0,0.1468,0.0,0.0,0.0,4.4102
청주_spring,0.0,1.0101,0.3507,0.0,3.8211,0.0,0.0,0.0,0.0,0.0,3.2253,0.0,0.0,0.0,0.0962,2.7577,0.1002,0.0,0.0,0.0,0.0,0.0,15.1888,1.5559,0.0,0.0,0.0,0.0,0.0,0.3664,5.087,0.0,0.0,8.6919,0.4544,0.4189,0.0,0.1485,25.0431,1.0549,1.0682,0.1056,0.1502,0.0,0.2753,0.0,0.0,0.0,0.0,0.0,0.1035,0.0,0.3922,0.0,0.0,0.2354,1.3466,0.0,4.2784,0.5832,0.0,1.0578,0.0,0.2471,1.1414,0.0,0.2433,0.0,19.4005
청주_summer,0.0,0.0,0.0,0.2167,9.8028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1225,0.6357,0.2096,0.0,0.0,0.0,0.1389,0.0,0.253,0.0,0.0,0.2868,0.0,0.0,0.0,0.0,0.0,0.1846,0.0,0.2018,0.09,41.9165,0.0,0.4518,7.9627,0.0,0.4356,23.8636,0.0,0.0,0.0,0.0816,0.0882,0.8484,1.6442,0.0,0.4023,0.0,0.0,0.0,0.0846,0.0,3.5736,0.0,0.1486,0.0,0.0,3.9716,0.0849,0.0,0.0,0.2495,0.0,0.0,1.0498
청주_autumn,0.0,0.0,0.0,0.0,0.4981,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.218,0.0,2.0686,2.0341,0.0,0.0,0.0,0.0,0.0,0.2281,0.3371,0.0,0.1823,0.0,0.0,0.0,1.029,13.2651,0.0,0.0,1.2699,0.3445,0.1068,0.0,3.766,0.0,0.0,0.2673,2.4396,0.0,0.0,1.8917,16.7734,0.0,0.0,2.292,0.0,0.0,0.0,0.4661,0.234,0.0,0.0,2.147,3.3295,0.8274,0.0,0.0,1.9164,0.0,0.0,2.4361,0.0,0.0,1.787,37.7537
청주_winter,0.0,4.9661,0.0,0.2749,1.275,0.1595,0.0,0.1363,0.1017,0.0,1.0281,1.34,0.2389,0.0,0.0,1.1494,0.7972,0.0,0.0,0.0,0.0,0.0,1.6241,0.0,0.0,0.0,0.0,0.1179,0.0,0.0,0.6009,0.0,0.3564,0.5897,0.0,1.6187,0.0,0.5413,5.3117,1.4594,0.0858,14.1633,0.0,0.0,0.5046,0.3699,0.4238,0.0,0.1591,0.0,0.1543,0.0,0.0,0.0,0.248,0.0,0.5379,0.0,0.3804,21.808,0.3447,26.1876,1.9313,0.1048,0.234,0.0,1.2129,0.1207,7.3419
