sample_id,Acidobacteriota,Actinobacteriota,Armatimonadota,Atribacterota,Bacteroidota,Caldisericota,Chloroflexi,Cloacimonadota,Coprothermobacterota,Deferribacterota,Elusimicrobiota,Euryarchaeota,Fermentibacterota,Fibrobacterota,Firmicutes,Fusobacteriota,Lentisphaerota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermotogota,Verrucomicrobiota,p__unclassified_root
대전_winter,0.0,6.3064,0.0,0.0,1.118,0.1025,3.6764,16.3481,0.0,0.0,0.0,7.6846,0.0,0.0,43.4422,0.0,0.0,2.0605,0.0,8.545,2.6033,0.0,1.7336,0.0,6.3794
울산_spring,0.0,0.3981,0.0,0.0,2.465,1.6612,4.0142,1.393,0.4737,0.0,0.0,6.1565,0.0,0.2613,48.5123,0.0,0.0,0.0,0.0,5.145,6.8328,0.0,0.794,0.0,21.893
울산_summer,0.0,0.2362,0.0,0.0,0.3328,0.2566,3.0102,0.2026,0.0,0.2117,0.0,4.0402,0.0,0.1259,80.9222,0.0,0.0,0.0,0.0,1.4905,0.1266,1.3201,0.0,0.5003,7.2242
울산_autumn,0.0,0.0,0.0,0.0,3.2058,0.0,6.6154,0.1398,0.0,0.0,0.1503,12.3745,1.5173,0.0,17.1059,0.0,0.0,0.0,6.6156,2.6841,0.1812,0.0,0.1209,2.7521,46.5369
울산_winter,0.0,0.2892,0.0,0.0,6.906,0.0,0.2411,5.4932,0.0,0.0,0.0,4.1135,0.7929,0.0,16.764,0.0,0.1215,0.0,0.0,0.4764,0.2735,17.6693,10.9734,0.0,35.8859
수원_spring,0.2445,0.0,0.0,0.0,11.959,1.195,19.4885,0.8854,0.0,0.0,0.0,7.3073,0.3904,0.0,24.4137,0.0,0.5613,0.0,0.0,4.146,4.0264,1.2564,2.1624,0.3017,21.6621
수원_summer,0.0,8.0522,0.0,0.451,1.104,0.0,6.9694,0.2375,2.8915,0.0,0.0,43.9612,0.0,0.0,17.8439,0.0,0.0,0.0,1.8137,7.4827,0.0,0.0,7.427,0.0,1.7657
수원_autumn,0.0,2.4304,0.0,0.0,12.5193,0.1871,17.0155,0.4886,0.0,0.0,0.0,11.5169,0.1773,0.0,37.9565,0.0848,0.6409,0.0,0.0,10.9422,5.203,0.1195,0.0,0.0,0.7179
수원_winter,0.0,0.7214,0.2881,0.0,6.4472,0.0,26.2682,22.2396,0.2128,0.0,0.1938,14.559,0.0,0.0,14.7536,0.0,0.2282,0.0,0.0,0.9469,4.3091,4.8822,1.9135,0.0,2.0367
창원_spring,0.0,18.0635,0.0,0.0,6.6722,0.0,21.8986,2.2016,0.0,0.0,0.0,2.4789,0.0,0.0,41.8455,0.0,0.0,4.2324,0.0,0.9268,0.0,0.1114,0.0,0.0,1.569
창원_summer,0.0,2.5075,2.0926,0.0,4.7763,0.0,5.6257,0.0,0.0,0.6414,0.0,19.143,0.0,1.4525,48.2915,0.0,3.806,0.3972,0.0,10.0357,0.0,0.1228,0.5982,0.0,0.5096
창원_autumn,0.0,2.9106,0.0,0.0,9.2977,0.2232,0.6026,0.1872,0.0,0.0,0.0,28.8352,0.0,0.2114,15.323,0.0,0.2994,0.0,0.1423,34.473,0.0,2.5395,0.0,0.0,4.9549
창원_winter,0.0,4.044,0.0,0.0,9.1894,0.0,5.6862,10.0612,0.1666,0.0,0.0874,13.5761,1.7914,0.0,12.428,0.0,0.0,0.1872,0.0,32.0977,1.9429,0.2015,4.1301,0.0,4.4102
청주_spring,0.0,2.566,0.0,0.0,18.7647,0.0,3.8211,2.7577,0.0,0.0,0.0,36.9855,0.0,0.0,3.0272,0.0,0.2433,0.0,0.0,1.8427,1.3466,4.1575,5.087,0.0,19.4005
청주_summer,0.0,0.0,0.0,0.0,0.7369,0.0,9.8028,0.6357,0.0,0.0,0.0,74.922,0.0,0.0,7.1944,0.0,0.0,0.0,0.0,0.2238,3.5736,0.0,1.6442,0.2167,1.0498
청주_autumn,0.0,0.3371,0.0,0.0,17.3264,0.218,0.4981,2.0686,0.0,0.0,0.0,8.1941,0.0,0.0,13.9396,0.0,0.0,0.0,0.0,1.4951,2.147,0.4649,15.5571,0.0,37.7537
청주_winter,0.0,6.4424,0.0,0.1017,3.2812,0.0,1.275,1.1494,0.0,0.0,0.0,23.7699,0.0,0.1179,29.395,0.0,1.2129,0.0,0.0,24.084,0.5379,0.2561,0.76,0.2749,7.3419
